turn,shock,price,volume,buy_orders,sell_orders
1,False,,0,2,2
2,False,4,4,3,2
3,False,4,2,2,2
4,False,4,6,3,2
5,False,4,2,3,2
6,False,5,4,2,2
7,False,5,4,3,2
8,False,6,4,2,2
9,False,5,4,3,2
10,False,5,3,3,2
11,False,5,4,3,2
12,False,5,2,1,2
13,False,4,3,2,2
14,False,4,3,3,2
15,True,4,3,3,2
16,True,5,2,3,1
17,True,5,2,2,1
18,True,,0,1,1
19,True,,0,1,2
20,True,5,3,3,2
21,True,4,1,3,2
22,True,5,2,3,2
23,False,5,2,3,2
24,False,5,4,3,2
25,False,5,2,3,2
26,False,6,3,3,1
27,False,5,1,3,2
28,False,5,5,3,2
29,False,6,4,3,2
30,False,6,4,3,2
31,False,,0,1,2
32,False,6,2,3,2
33,False,6,3,3,2
34,False,5,2,2,2
35,False,5,2,2,2
36,False,5,3,3,2
37,False,6,1,3,2
38,False,6,3,3,2
39,False,6,2,1,2
40,False,7,1,3,2
